TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,P_emaildomain,R_emaildomain
2987080,0,87856,60.0,W,7207,111.0,150.0,visa,226.0,debit,204.0,87.0,,comcast.net,
2987081,0,87868,104.95,W,17188,321.0,150.0,visa,226.0,debit,299.0,87.0,1.0,gmail.com,
2987082,0,87899,280.0,W,15066,170.0,150.0,mastercard,102.0,credit,325.0,87.0,,optonline.net,
2987083,0,87924,411.95,W,14695,396.0,150.0,mastercard,224.0,credit,315.0,87.0,22.0,gmail.com,
2987084,0,87928,125.674,C,5583,103.0,185.0,visa,226.0,credit,,,,anonymous.com,anonymous.com
2987085,0,87935,42.596,C,15885,545.0,185.0,visa,138.0,debit,,,,anonymous.com,anonymous.com
2987086,0,87950,44.5,W,11815,206.0,150.0,mastercard,166.0,debit,476.0,87.0,6.0,gmail.com,
2987087,0,88004,88.95,W,1549,143.0,150.0,visa,226.0,debit,205.0,87.0,9.0,yahoo.com,
2987088,0,88021,140.0,W,18095,243.0,150.0,visa,226.0,debit,387.0,87.0,,gmail.com,
2987089,0,88042,318.95,W,17188,321.0,150.0,visa,226.0,debit,299.0,87.0,5.0,gmail.com,
2987090,0,88046,77.821,C,15885,545.0,185.0,visa,138.0,debit,,,,gmail.com,gmail.com
2987091,0,88053,107.0,W,14165,111.0,150.0,mastercard,224.0,debit,181.0,87.0,10.0,,
2987092,0,88054,117.0,W,6481,111.0,150.0,visa,226.0,debit,337.0,87.0,327.0,cox.net,
2987093,0,88070,50.0,H,5220,360.0,150.0,visa,226.0,credit,231.0,87.0,,charter.net,charter.net
2987094,0,88107,527.0,W,5409,170.0,150.0,visa,226.0,credit,315.0,87.0,5.0,yahoo.com,
2987095,0,88120,59.0,W,2538,476.0,150.0,visa,166.0,debit,330.0,87.0,,anonymous.com,
2987096,0,88131,108.5,W,15121,555.0,150.0,visa,226.0,debit,420.0,87.0,,gmail.com,
2987097,0,88147,21.5,W,2581,199.0,150.0,mastercard,202.0,debit,436.0,87.0,4.0,gmail.com,
2987098,0,88149,159.0,W,6459,100.0,150.0,mastercard,224.0,credit,325.0,87.0,137.0,hotmail.com,
2987099,0,88162,75.0,R,1214,174.0,150.0,visa,226.0,credit,126.0,87.0,,gmail.com,gmail.com
2987100,0,88169,100.0,H,16659,170.0,150.0,visa,226.0,credit,330.0,87.0,,comcast.net,
2987101,0,88174,25.0,H,4523,423.0,150.0,visa,226.0,debit,337.0,87.0,,yahoo.com,
2987102,0,88178,42.95,W,4186,446.0,150.0,visa,226.0,debit,325.0,87.0,0.0,,
2987103,0,88184,47.95,W,18370,547.0,150.0,visa,226.0,debit,191.0,87.0,31.0,rocketmail.com,
2987104,0,88208,100.0,H,16659,170.0,150.0,visa,226.0,credit,330.0,87.0,,comcast.net,
2987105,0,88229,5.075,C,15885,545.0,185.0,visa,138.0,debit,,,,gmail.com,gmail.com
2987106,0,88230,92.0,W,12733,555.0,150.0,visa,226.0,debit,327.0,87.0,1.0,gmail.com,
2987107,0,88258,226.0,W,9500,321.0,150.0,visa,226.0,debit,204.0,87.0,113.0,aol.com,
2987108,0,88303,150.0,H,9515,492.0,150.0,visa,226.0,debit,343.0,87.0,,gmail.com,gmail.com
2987109,0,88346,107.95,W,2704,111.0,150.0,mastercard,117.0,debit,299.0,87.0,4.0,gmail.com,
2987110,0,88380,1153.95,W,1214,523.0,150.0,visa,226.0,credit,337.0,87.0,,hotmail.com,
2987111,0,88383,18.186,C,13832,375.0,185.0,mastercard,224.0,debit,,,,hotmail.com,hotmail.com
2987112,0,88394,210.95,W,15497,490.0,150.0,visa,226.0,debit,299.0,87.0,5.0,yahoo.com,
2987113,0,88404,11.782,C,15885,545.0,185.0,visa,138.0,debit,,,,anonymous.com,anonymous.com
2987114,0,88404,4.433,C,12184,440.0,185.0,visa,138.0,debit,,,,gmail.com,gmail.com
2987115,0,88410,75.0,W,11465,360.0,150.0,visa,166.0,debit,123.0,87.0,,gmail.com,
2987116,0,88435,34.0,W,10520,543.0,150.0,mastercard,224.0,debit,299.0,87.0,2.0,gmail.com,
2987117,0,88440,200.0,W,9803,583.0,150.0,visa,226.0,credit,126.0,87.0,,comcast.net,
2987118,0,88471,11.782,C,15885,545.0,185.0,visa,138.0,debit,,,,anonymous.com,anonymous.com
2987119,0,88484,100.0,H,2456,399.0,150.0,american express,118.0,credit,299.0,87.0,,anonymous.com,anonymous.com
2987120,0,88507,59.0,W,9749,528.0,150.0,visa,226.0,credit,436.0,87.0,5.0,gmail.com,
2987121,0,88517,50.0,H,1804,161.0,150.0,mastercard,117.0,debit,181.0,87.0,,gmail.com,
2987122,0,88538,80.0,W,9500,321.0,150.0,visa,226.0,debit,325.0,87.0,36.0,,
2987123,0,88549,59.0,W,6550,,150.0,visa,226.0,debit,299.0,87.0,23.0,,
2987124,0,88554,58.95,W,12873,535.0,150.0,visa,226.0,debit,299.0,87.0,112.0,yahoo.com,
2987125,0,88556,50.0,H,1804,161.0,150.0,mastercard,117.0,debit,181.0,87.0,,gmail.com,
2987126,0,88579,87.95,W,11279,354.0,143.0,visa,226.0,debit,502.0,87.0,,gmail.com,
2987127,0,88586,107.95,W,2704,111.0,150.0,mastercard,117.0,debit,299.0,87.0,,gmail.com,
2987128,0,88589,57.95,W,4106,543.0,150.0,mastercard,224.0,debit,315.0,87.0,,yahoo.com,
2987129,0,88607,50.0,W,8394,490.0,150.0,visa,226.0,debit,325.0,87.0,,yahoo.com,
2987130,0,88619,70.933,C,13329,569.0,117.0,visa,226.0,credit,,,,gmail.com,gmail.com
2987131,0,88628,444.61,W,18227,583.0,150.0,visa,226.0,credit,325.0,87.0,8.0,gmail.com,
2987132,0,88638,757.07,W,8684,117.0,150.0,visa,226.0,debit,315.0,87.0,,gmail.com,
2987133,0,88647,2594.95,W,14349,170.0,150.0,mastercard,195.0,credit,315.0,87.0,,gmail.com,
2987134,0,88657,117.0,W,8406,264.0,150.0,visa,226.0,debit,476.0,87.0,30.0,gmail.com,
2987135,0,88671,3000.0,W,2616,,150.0,discover,102.0,credit,330.0,87.0,9.0,gmail.com,
2987136,0,88688,30.0,W,2392,360.0,150.0,mastercard,166.0,debit,269.0,87.0,,,
2987137,0,88704,56.95,W,1675,174.0,150.0,visa,226.0,debit,330.0,87.0,55.0,yahoo.com,
2987138,0,88725,100.0,H,16075,514.0,150.0,mastercard,102.0,credit,184.0,87.0,,yahoo.com,
2987139,0,88735,129.299,C,9026,545.0,185.0,visa,137.0,credit,,,,prodigy.net.mx,prodigy.net.mx
2987140,0,88743,208.43,W,9992,455.0,150.0,mastercard,166.0,debit,158.0,87.0,4.0,gmail.com,
2987141,0,88755,200.0,R,8194,325.0,150.0,visa,195.0,debit,272.0,87.0,,anonymous.com,anonymous.com
2987142,0,88777,23.806,C,15885,545.0,185.0,visa,138.0,debit,,,,anonymous.com,anonymous.com
2987143,0,88778,100.0,W,1764,158.0,150.0,visa,226.0,debit,315.0,87.0,,gmail.com,
2987144,0,88803,200.0,R,8194,325.0,150.0,visa,195.0,debit,272.0,87.0,,anonymous.com,anonymous.com
2987145,0,88805,100.0,R,8260,399.0,150.0,american express,150.0,credit,433.0,87.0,,anonymous.com,anonymous.com
2987146,0,88818,23.806,C,15885,545.0,185.0,visa,138.0,debit,,,,anonymous.com,anonymous.com
2987147,0,88819,25.95,W,11279,354.0,143.0,visa,226.0,debit,502.0,87.0,,gmail.com,
2987148,0,88842,30.0,H,14858,558.0,150.0,visa,226.0,debit,325.0,87.0,,yahoo.com,
2987149,0,88849,43.95,W,12873,535.0,150.0,visa,226.0,debit,299.0,87.0,,yahoo.com,
2987150,0,88880,117.0,W,12695,490.0,150.0,visa,226.0,debit,330.0,87.0,,hotmail.com,
2987151,0,88897,49.0,W,12577,268.0,150.0,visa,166.0,debit,184.0,87.0,,gmail.com,
2987152,0,88907,587.82,W,14349,170.0,150.0,mastercard,195.0,credit,315.0,87.0,9.0,gmail.com,
2987153,0,88910,29.0,W,14165,111.0,150.0,mastercard,224.0,debit,181.0,87.0,10.0,me.com,
2987154,0,88912,35.95,W,14605,528.0,150.0,visa,226.0,debit,330.0,87.0,3.0,gmail.com,
2987155,0,88943,479.95,W,6053,122.0,150.0,mastercard,195.0,debit,299.0,87.0,,yahoo.com,
2987156,0,88965,50.0,R,3334,583.0,150.0,visa,226.0,credit,126.0,87.0,,comcast.net,comcast.net
2987157,0,88997,30.0,W,14025,479.0,150.0,visa,226.0,debit,143.0,87.0,,,
2987158,0,88997,171.0,W,10023,111.0,150.0,visa,226.0,debit,325.0,87.0,12.0,gmail.com,
2987159,0,89072,92.95,W,17188,321.0,150.0,visa,226.0,debit,299.0,87.0,0.0,anonymous.com,
2987160,0,89075,29.0,W,8431,269.0,150.0,mastercard,224.0,debit,251.0,87.0,,,
2987161,0,89085,107.95,W,9500,321.0,150.0,visa,226.0,debit,204.0,87.0,,gmail.com,
2987162,0,89095,100.0,W,15651,417.0,150.0,visa,226.0,debit,330.0,87.0,,gmail.com,
2987163,0,89103,973.95,W,17188,321.0,150.0,visa,226.0,debit,299.0,87.0,32.0,yahoo.com,
2987164,0,89133,34.0,W,13641,111.0,150.0,visa,226.0,debit,231.0,87.0,,gmail.com,
2987165,0,89134,39.0,W,1974,111.0,150.0,visa,226.0,debit,204.0,87.0,801.0,,
2987166,0,89147,26.5,W,11919,170.0,150.0,mastercard,224.0,debit,264.0,87.0,,gmail.com,
2987167,0,89169,100.0,H,6019,583.0,150.0,visa,226.0,credit,325.0,87.0,,optonline.net,
2987168,0,89180,36.95,W,15497,490.0,150.0,visa,226.0,debit,299.0,87.0,,yahoo.com,
2987169,0,89185,100.0,W,6951,111.0,150.0,visa,226.0,debit,441.0,87.0,2355.0,yahoo.com,
2987170,0,89189,20.0,W,10989,360.0,150.0,visa,166.0,debit,126.0,87.0,,gmail.com,
2987171,0,89211,34.0,W,3570,512.0,150.0,visa,226.0,debit,299.0,87.0,7.0,yahoo.com,
2987172,0,89225,159.95,W,7063,170.0,150.0,mastercard,102.0,credit,315.0,87.0,16.0,yahoo.com,
2987173,0,89230,25.0,H,4436,174.0,150.0,visa,183.0,debit,184.0,87.0,,gmail.com,gmail.com
2987174,0,89250,107.95,W,9500,321.0,150.0,visa,226.0,debit,204.0,87.0,1111.0,gmail.com,
2987175,0,89268,117.0,W,18227,583.0,150.0,visa,226.0,credit,325.0,87.0,1.0,hotmail.com,
2987176,0,89283,39.0,W,15066,170.0,150.0,mastercard,102.0,credit,204.0,87.0,,,
2987177,0,89341,306.47,W,16132,111.0,150.0,visa,226.0,debit,299.0,87.0,,yahoo.com,
2987178,0,89372,445.0,W,14290,512.0,150.0,visa,226.0,debit,225.0,87.0,11.0,gmail.com,
2987179,0,89393,424.95,W,15497,490.0,150.0,visa,226.0,debit,299.0,87.0,22.0,gmail.com,
2987180,0,89404,83.95,W,4348,147.0,150.0,visa,195.0,debit,205.0,87.0,,yahoo.com,
2987181,0,89437,171.0,W,16632,215.0,150.0,mastercard,166.0,debit,299.0,87.0,6.0,gmail.com,
2987182,0,89439,311.95,W,15497,490.0,150.0,visa,226.0,debit,299.0,87.0,2.0,,
2987183,0,89444,200.0,H,10047,111.0,150.0,visa,226.0,credit,204.0,87.0,,embarqmail.com,
2987184,0,89466,112.99,W,7508,321.0,150.0,visa,226.0,debit,264.0,87.0,1568.0,gmail.com,
2987185,0,89483,359.91,W,6209,480.0,150.0,mastercard,219.0,credit,299.0,87.0,,,
2987186,0,89513,117.0,W,3278,453.0,150.0,visa,226.0,debit,272.0,87.0,83.0,gmail.com,
2987187,0,89542,50.0,W,16930,265.0,150.0,visa,226.0,debit,143.0,87.0,,,
2987188,0,89545,12.0,S,12866,303.0,150.0,visa,226.0,debit,330.0,87.0,,,
2987189,0,89561,57.399,C,8755,500.0,185.0,mastercard,224.0,credit,,,,gmail.com,gmail.com
2987190,0,89565,32.325,C,5458,266.0,185.0,mastercard,224.0,credit,,,,hotmail.com,hotmail.com
2987191,0,89597,26.5,W,13886,388.0,150.0,visa,226.0,debit,264.0,87.0,,gmail.com,
2987192,0,89600,5.982,C,3154,408.0,185.0,mastercard,224.0,debit,,,,anonymous.com,anonymous.com
2987193,0,89611,28.699,C,4504,500.0,185.0,mastercard,219.0,credit,,,,hotmail.com,hotmail.com
2987194,0,89624,1486.44,W,11556,309.0,150.0,visa,226.0,debit,181.0,87.0,,comcast.net,
2987195,0,89625,59.0,W,17400,174.0,150.0,visa,226.0,debit,269.0,87.0,18.0,icloud.com,
2987196,0,89633,8.641,C,2115,415.0,185.0,mastercard,195.0,credit,,,,anonymous.com,anonymous.com
2987197,0,89663,66.0,H,7826,481.0,150.0,mastercard,224.0,debit,325.0,87.0,,aol.com,gmail.com
2987198,0,89663,15.0,H,2884,490.0,150.0,visa,226.0,debit,325.0,87.0,,gmail.com,
2987199,0,89665,19.455,C,15885,545.0,185.0,visa,138.0,debit,,,,live.com.mx,live.com.mx
2987200,0,89666,34.0,W,12577,268.0,150.0,visa,166.0,debit,184.0,87.0,17.0,gmail.com,
2987201,0,89699,2547.46,W,11106,100.0,150.0,visa,226.0,credit,204.0,87.0,17.0,gmail.com,
2987202,0,89719,47.95,W,5254,414.0,143.0,visa,226.0,debit,330.0,87.0,,gmail.com,
2987203,1,89760,445.0,W,18268,583.0,150.0,visa,226.0,credit,251.0,87.0,,aol.com,
2987204,0,89785,47.95,W,13366,437.0,150.0,visa,226.0,debit,337.0,87.0,6.0,gmail.com,
2987205,0,89793,28.699,C,1085,500.0,185.0,mastercard,219.0,credit,,,,hotmail.com,hotmail.com
2987206,0,89793,39.0,W,6621,555.0,150.0,visa,226.0,debit,492.0,87.0,30.0,yahoo.com,
2987207,0,89828,25.0,H,6019,583.0,150.0,visa,226.0,credit,299.0,87.0,,yahoo.com,
2987208,0,89834,120.95,W,5433,555.0,150.0,visa,166.0,debit,143.0,87.0,,yahoo.com,
2987209,0,89836,21.993,C,10876,104.0,185.0,visa,137.0,credit,,,,anonymous.com,anonymous.com
2987210,0,89837,2948.95,W,15451,555.0,150.0,visa,226.0,credit,299.0,87.0,18.0,yahoo.com,
2987211,0,89840,15.0,H,6019,583.0,150.0,visa,226.0,credit,264.0,87.0,,gmail.com,
2987212,0,89844,117.0,W,2560,562.0,150.0,visa,162.0,credit,264.0,87.0,9.0,yahoo.com,
2987213,0,89867,499.95,W,6957,,150.0,visa,166.0,debit,272.0,87.0,27.0,gmail.com,
2987214,0,89878,99.0,W,5033,269.0,150.0,mastercard,224.0,debit,337.0,87.0,80.0,aol.com,
2987215,0,89886,209.95,W,9002,453.0,150.0,visa,226.0,debit,264.0,87.0,10.0,icloud.com,
2987216,0,89916,100.0,W,10057,225.0,150.0,mastercard,224.0,debit,315.0,87.0,,,
2987217,0,89924,15.0,W,14637,480.0,150.0,mastercard,171.0,debit,387.0,87.0,5.0,gmail.com,
2987218,0,89930,117.0,W,12469,360.0,150.0,mastercard,166.0,debit,330.0,87.0,90.0,gmail.com,
2987219,0,89931,50.0,W,10027,101.0,150.0,visa,226.0,debit,123.0,87.0,,gmail.com,
2987220,0,89940,49.0,W,14290,512.0,150.0,visa,226.0,debit,177.0,87.0,15.0,gmail.com,
2987221,0,89941,68.5,W,12469,360.0,150.0,mastercard,166.0,debit,251.0,87.0,,gmail.com,
2987222,0,89942,590.4,W,6832,134.0,150.0,visa,226.0,credit,472.0,87.0,,icloud.com,
2987223,0,89948,54.0,W,2616,,150.0,discover,102.0,credit,337.0,87.0,0.0,,
2987224,0,89966,67.95,W,16075,514.0,150.0,mastercard,102.0,credit,264.0,87.0,,,
2987225,0,89969,43.0,W,9500,321.0,150.0,visa,226.0,debit,126.0,87.0,,aol.com,
2987226,0,89989,39.0,W,6755,586.0,150.0,mastercard,224.0,credit,299.0,87.0,91.0,gmail.com,
2987227,0,89990,1973.0,W,11839,490.0,150.0,visa,226.0,debit,512.0,87.0,,gmail.com,
2987228,0,90014,75.0,W,7664,490.0,150.0,visa,226.0,debit,264.0,87.0,,yahoo.com,
2987229,0,90034,49.0,W,18249,360.0,150.0,mastercard,166.0,debit,204.0,87.0,10.0,gmail.com,
2987230,0,90084,107.95,W,6170,174.0,150.0,visa,226.0,debit,315.0,87.0,14.0,yahoo.com,
2987231,0,90085,474.95,W,4591,215.0,150.0,visa,195.0,debit,315.0,87.0,3.0,yahoo.com,
2987232,0,90098,25.95,W,14502,191.0,150.0,visa,226.0,debit,143.0,87.0,2.0,yahoo.com,
2987233,0,90110,116.0,W,5033,269.0,150.0,mastercard,224.0,debit,337.0,87.0,80.0,gmail.com,
2987234,0,90111,150.5,W,16132,111.0,150.0,visa,226.0,debit,420.0,87.0,,,
2987235,0,90147,50.0,W,13734,491.0,150.0,visa,226.0,debit,337.0,87.0,,,
2987236,0,90149,30.0,H,10023,111.0,150.0,visa,226.0,debit,325.0,87.0,,yahoo.com,gmail.com
2987237,0,90156,200.0,W,14290,512.0,150.0,visa,226.0,debit,315.0,87.0,6.0,yahoo.com,
2987238,0,90163,226.0,W,17188,321.0,150.0,visa,226.0,debit,299.0,87.0,,,
2987239,0,90178,171.0,W,10616,583.0,150.0,visa,226.0,credit,204.0,87.0,4.0,gmail.com,
2987240,1,90193,37.098,C,13413,103.0,185.0,visa,137.0,credit,,,,hotmail.com,hotmail.com
2987241,0,90232,250.0,W,5567,583.0,150.0,visa,226.0,credit,315.0,87.0,,hotmail.com,
2987242,0,90244,24.95,W,2019,369.0,150.0,mastercard,224.0,debit,299.0,87.0,,gmail.com,
2987243,1,90246,37.098,C,13413,103.0,185.0,visa,137.0,credit,,,,hotmail.com,hotmail.com
2987244,0,90294,15.0,W,9175,111.0,150.0,visa,226.0,debit,126.0,87.0,,gmail.com,
2987245,1,90295,37.098,C,13413,103.0,185.0,visa,137.0,credit,,,,hotmail.com,hotmail.com
2987246,0,90299,50.0,W,17400,174.0,150.0,visa,226.0,debit,269.0,87.0,,icloud.com,
2987247,0,90308,58.95,W,15757,322.0,150.0,visa,195.0,debit,310.0,87.0,,gmail.com,
2987248,0,90325,50.0,H,11660,555.0,150.0,visa,226.0,credit,181.0,87.0,,yahoo.com,
2987249,0,90327,78.95,W,12544,321.0,150.0,visa,226.0,debit,337.0,87.0,12.0,gmail,
2987250,0,90332,289.95,W,7861,494.0,150.0,visa,226.0,credit,327.0,87.0,12.0,gmail.com,
2987251,0,90365,100.0,W,10057,225.0,150.0,mastercard,224.0,debit,315.0,87.0,,,
2987252,0,90366,48.638,C,2115,415.0,185.0,mastercard,195.0,credit,,,,anonymous.com,anonymous.com
2987253,0,90370,200.0,W,4184,532.0,150.0,mastercard,224.0,debit,485.0,87.0,0.0,,
2987254,0,90392,54.5,W,17598,268.0,150.0,visa,166.0,debit,330.0,87.0,38.0,live.com,
2987255,0,90440,54.0,W,9500,321.0,150.0,visa,226.0,debit,204.0,87.0,6.0,hotmail.com,
2987256,0,90441,108.95,W,9653,313.0,150.0,visa,226.0,debit,299.0,87.0,51.0,gmail.com,
2987257,0,90445,2038.95,W,18320,474.0,150.0,mastercard,195.0,debit,512.0,87.0,1.0,,
